swim,bike,run
20.9507,48.1354,30.9139
20.0998,41.7889,38.1112
20.7980,50.4113,28.7907
20.7740,47.6179,31.6080
24.9488,46.8146,28.2366
31.5430,45.1293,23.3278
19.1971,46.7484,34.0545
19.6785,50.9845,29.3370
13.9470,49.6915,36.3614
23.5196,47.3715,29.1088
20.8650,50.7961,28.3389
20.7525,50.5797,28.6678
17.6100,48.9555,33.4345
20.0517,50.2216,29.7267
22.9144,48.6812,28.4043
12.6104,48.0753,39.3143
17.6241,52.4305,29.9454
19.2415,48.1675,32.5910
19.6198,48.5338,31.8464
17.5209,49.5071,32.9719
18.3909,48.3454,33.2636
18.4795,48.3231,33.1974
25.6535,46.1695,28.1770
21.6642,46.2700,32.0658
18.7080,48.4566,32.8354
19.9707,47.0178,33.0115
17.2852,48.0591,34.6558
22.5465,47.2963,30.1572
22.1301,47.8454,30.0245
20.9657,48.0837,30.9506
23.5915,45.6295,30.7790
20.7314,45.9275,33.3410
16.1472,50.7157,33.1371
19.8635,49.4851,30.6514
21.4165,48.4758,30.1077
16.5695,51.6285,31.8020
20.3157,48.3958,31.2885
18.0435,47.9965,33.9599
18.6507,48.7656,32.5837
22.7092,47.4533,29.8374
19.6090,48.1171,32.2739
14.6545,49.7544,35.5911
18.5539,49.6062,31.8399
17.8036,51.1411,31.0554
17.7965,50.5391,31.6644
20.0967,51.3386,28.5647
21.1813,46.9477,31.8710
20.1790,47.6927,32.1283
21.7167,43.7294,34.5538
22.3159,46.2187,31.4655
19.0021,51.2927,29.7053
19.1874,49.3373,31.4753
23.0666,48.5850,28.3484
20.7681,46.9180,32.3139
21.6704,50.0980,28.2316
18.2054,48.9447,32.8499
20.3539,49.6448,30.0013
20.8673,47.9082,31.2245
18.0098,50.1316,31.8586
19.5139,51.1661,29.3200
16.2815,48.9098,34.8087
19.2540,49.9035,30.8424
23.2820,47.8234,28.8946
17.3302,53.0602,29.6096
19.8512,50.1829,29.9659
18.7273,49.9030,31.3697
16.7956,47.3634,35.8410
23.4017,44.2154,32.3829
18.8627,48.5455,32.5918
19.8714,50.6245,29.5041
18.0496,51.6829,30.2675
20.7442,47.8072,31.4486
18.0662,48.4477,33.4861
17.5425,51.9162,30.5413
17.8075,51.5455,30.6470
19.6131,49.2409,31.1459
18.8965,48.1648,32.9387
18.0353,48.8277,33.1369
21.9541,48.0564,29.9896
21.6226,48.9517,29.4256
23.0084,48.0579,28.9337
20.2751,47.8571,31.8679
19.2340,48.3288,32.4373
19.5142,46.8483,33.6374
23.2613,46.3705,30.3682
22.7746,47.9728,29.2525
24.4404,46.9651,28.5945
17.2001,50.6741,32.1258
19.9592,48.0730,31.9678
22.9229,46.3853,30.6918
22.6359,45.5130,31.8511
21.2246,47.8753,30.9002
17.6988,50.7600,31.5413
18.9672,47.7679,33.2650
17.1373,49.0628,33.7999
18.6229,49.5897,31.7874
20.8759,50.4228,28.7012
20.0248,47.8735,32.1017
19.7672,48.6128,31.6200
22.4199,44.8399,32.7402
22.4902,46.1382,31.3716
20.8401,47.1419,32.0181
21.3023,48.3864,30.3113
17.7281,49.5145,32.7575
17.2536,58.4989,24.2475
17.6115,49.5538,32.8346
21.0097,50.0899,28.9003
23.1715,48.5008,28.3277
20.8922,48.3471,30.7607
22.4494,50.7698,26.7808
20.2304,49.6012,30.1684
23.1027,45.2453,31.6520
20.4880,49.2304,30.2816
21.4760,49.7744,28.7497
18.8657,50.5949,30.5394
21.9663,47.3187,30.7150
19.5761,51.2344,29.1895
21.1149,49.6018,29.2833
21.1126,49.7331,29.1543
18.8358,49.0318,32.1324
20.9527,46.7156,32.3317
21.6378,47.4561,30.9062
17.7361,49.7433,32.5205
20.3223,47.8437,31.8340
16.4985,53.6542,29.8473
19.5039,49.9562,30.5399
21.2988,47.1635,31.5377
20.0794,46.9968,32.9238
20.3071,47.5921,32.1007
24.8624,45.9807,29.1570
23.6954,46.7248,29.5799
20.8408,48.4056,30.7536
21.0774,46.3987,32.5239
22.5967,47.2666,30.1367
19.6673,45.9319,34.4008
19.8771,48.6257,31.4972
21.5188,48.9804,29.5008
22.9949,42.3325,34.6726
19.2987,48.0677,32.6337
20.9564,49.0389,30.0047
17.4942,49.1639,33.3419
20.1014,48.7833,31.1153
20.9949,47.2812,31.7240
22.1138,47.2608,30.6254
16.4844,50.7271,32.7886
18.9873,49.6679,31.3448
23.0760,47.0745,29.8495
22.4203,47.5688,30.0109
16.7429,49.9880,33.2691
22.6230,46.5002,30.8767
22.8824,47.6507,29.4669
17.1901,52.3849,30.4250
20.9650,48.4725,30.5625
14.2765,51.4778,34.2457
21.6441,48.9383,29.4176
23.8319,46.8336,29.3345
20.0235,49.3882,30.5882
21.6913,47.6164,30.6923
21.6663,49.3442,28.9896
18.1523,48.1054,33.7423
18.5852,50.5179,30.8969
23.2855,46.6628,30.0517
21.5876,48.0774,30.3351
15.1445,52.0769,32.7786
16.9227,47.1796,35.8978
17.3809,51.5371,31.0819
17.5604,50.8893,31.5503
19.4114,49.0995,31.4891
17.9945,49.1455,32.8600
22.8655,45.9387,31.1958
19.5837,50.4017,30.0146
21.7622,48.2076,30.0302
22.8375,46.7238,30.4387
24.5601,43.1923,32.2476
19.1104,48.4845,32.4051
21.4573,48.5561,29.9866
22.0533,48.8920,29.0547
19.6526,48.0942,32.2532
21.6404,47.1386,31.2210
25.0342,48.2314,26.7344
22.5810,48.1653,29.2537
20.8909,48.1180,30.9911
25.9640,45.3423,28.6937
21.6913,47.1578,31.1509
19.8983,49.5153,30.5864
19.5398,50.3090,30.1512
17.4095,50.5032,32.0873
17.8372,51.0255,31.1374
18.0384,50.5716,31.3900
15.3339,52.5996,32.0665
18.9080,49.6319,31.4601
19.6335,48.0160,32.3504
20.0315,49.5280,30.4406
19.8617,51.2518,28.8865
19.2150,48.3845,32.4005
18.9427,47.1476,33.9097
18.0092,51.0911,30.8998
19.1245,52.0037,28.8718
19.4520,50.5562,29.9919
18.8648,50.4045,30.7307
20.2001,48.5178,31.2821
20.9911,45.2940,33.7148
20.3481,47.4788,32.1731
21.9495,49.4336,28.6169
22.0435,45.3104,32.6461
21.3388,48.5017,30.1595
24.9798,47.2534,27.7669
21.2555,46.5502,32.1943
18.5201,53.7914,27.6885
21.0898,48.4165,30.4937
20.3187,48.7341,30.9472
22.7433,46.5343,30.7224
19.5234,49.9427,30.5339
24.3537,47.3923,28.2540
21.3902,48.6456,29.9642
16.5179,51.5290,31.9531
19.1902,47.9645,32.8453
19.2878,49.3089,31.4033
19.6966,48.6383,31.6651
19.5852,50.0124,30.4024
18.9848,49.4406,31.5746
19.2144,49.6059,31.1797
19.7979,49.9305,30.2716
18.7124,48.7365,32.5511
21.3394,46.4250,32.2356
17.4899,48.0999,34.4103
19.8549,52.6282,27.5169
20.9122,49.4299,29.6579
19.8527,50.2514,29.8959
18.0360,48.5537,33.4103
13.9944,51.9845,34.0211
18.7537,48.3807,32.8657
21.8169,44.0328,34.1502
